id_usuario,nombre,correo,identificacion,tipo_usuario,fecha_registro,estado,saldo
93,Douglas Parker,ashleybradley@example.com,23600325,estudiante,2022-08-23,bloqueado,77333
94,Ryan Hill,fergusonamy@example.net,18256247,docente,2022-10-31,bloqueado,21297
95,Jesse Leonard,robertstyler@example.net,91446164,estudiante,2023-10-19,activo,98949
96,Mr. Daniel Montes PhD,colejoseph@example.com,41010496,estudiante,2023-09-03,bloqueado,84916
97,Steven Miller,tiffanyjohnson@example.com,97134375,estudiante,2022-08-24,activo,38318
98,Jeffrey King,ronaldclark@example.com,66848534,estudiante,2023-01-14,activo,62668
99,Angela Griffin,romerodonna@example.org,44662942,estudiante,2024-04-06,bloqueado,795
100,Jennifer Kennedy,janet40@example.com,16446092,docente,2024-02-26,activo,1329
101,Daniel White,troyaguilar@example.org,35149636,estudiante,2023-07-14,activo,86599
102,Corey Wilson,kathleendelgado@example.com,72087203,estudiante,2023-12-27,bloqueado,56225
103,Christine Perry,kelly18@example.net,6708534,estudiante,2022-07-20,bloqueado,58461
104,Rebecca Perry,wrightdebra@example.org,955951,estudiante,2022-10-05,activo,41744
105,Terry Webster,kristireid@example.net,6185212,estudiante,2023-09-09,bloqueado,74401
106,John Clay,amy18@example.net,82356124,estudiante,2023-10-11,bloqueado,48694
107,Jeffrey Flores,tinarichardson@example.org,57639331,estudiante,2024-02-03,bloqueado,86287
108,Tara Benitez,richardberry@example.net,96710409,estudiante,2023-12-25,bloqueado,80378
109,Kim Tucker,james24@example.com,81157773,estudiante,2024-03-23,activo,89482
110,Laura Combs,wcraig@example.org,51185502,docente,2023-09-25,activo,98124
111,Jenna Sampson,cesarhoward@example.com,29563348,docente,2022-09-09,activo,11582
112,Christopher Sullivan,stephanie17@example.net,90081161,estudiante,2024-05-08,bloqueado,57480
113,Lisa Snyder,bryantdanielle@example.net,75065873,estudiante,2024-01-06,activo,71336
114,Julia Sharp,danielle55@example.com,19102409,estudiante,2022-11-07,activo,16776
115,Kara Williams,stacy38@example.net,3716417,estudiante,2022-10-23,activo,47464
116,Briana Harris,gsmith@example.org,87807398,estudiante,2023-12-19,activo,67640
117,Lisa Jordan,russell72@example.com,51472411,estudiante,2022-09-03,bloqueado,21880
118,Alice Davis,jamestorres@example.net,79844716,estudiante,2023-03-16,bloqueado,84865
119,Caleb Page,kirk63@example.com,9963760,estudiante,2023-07-13,activo,40531
120,Dwayne Anderson,mjohnson@example.com,17426149,estudiante,2022-11-11,bloqueado,18666
121,Jamie Thomas,david66@example.net,64704754,estudiante,2023-10-08,activo,74765
122,Carrie Sanchez,pwalters@example.net,80382590,docente,2022-06-10,bloqueado,89925
123,Kimberly Carlson,johnsonkimberly@example.net,76426599,docente,2023-01-19,bloqueado,94111
124,John Howe,qgarcia@example.com,61362532,estudiante,2023-04-08,bloqueado,17232
125,Victoria Bailey,jasonholt@example.net,11106436,estudiante,2022-11-15,bloqueado,61318
126,Shawn Steele,thomaslopez@example.com,51825848,estudiante,2023-05-16,bloqueado,45886
127,Steven Parker,jonathanleonard@example.com,97429362,estudiante,2022-10-24,activo,68195
128,Justin Miller,omcgee@example.org,71303107,estudiante,2023-08-24,activo,79742
129,Carl Davis,mitchelldwayne@example.net,95809027,estudiante,2023-08-23,activo,49821
130,Eric Silva,josemccarthy@example.org,37317322,estudiante,2024-05-06,bloqueado,41478
131,Ryan Davila,armstrongjennifer@example.net,77153400,estudiante,2022-09-25,activo,29890
132,Aaron Burns,bensondanielle@example.com,66755623,estudiante,2023-09-18,bloqueado,77173
133,David Rubio,ymiller@example.org,95678129,docente,2023-01-05,bloqueado,99109
134,Shannon Blair,brandon03@example.net,83972964,estudiante,2024-04-08,bloqueado,64960
135,Randy Wade,donaldanderson@example.com,52836102,estudiante,2022-05-31,bloqueado,81311
136,Lacey James,cmacdonald@example.net,27722929,docente,2024-05-02,bloqueado,5672
137,Susan Snyder,hansenmartha@example.net,31828793,docente,2023-08-18,activo,88532
138,Rebecca Thomas,medinamichael@example.net,71956683,docente,2024-03-23,bloqueado,12702
139,Rebecca Smith,veronica15@example.net,73165090,docente,2022-11-25,activo,95486
140,Malik Byrd,mauricechristensen@example.org,86924681,estudiante,2023-06-03,bloqueado,6327
141,Joseph Moreno,foxjody@example.org,47463989,estudiante,2022-07-29,bloqueado,60591
142,Robin Young,fwood@example.net,48563845,estudiante,2024-03-22,bloqueado,12000
143,Brian Torres,douglaslawson@example.com,8955804,estudiante,2023-02-17,bloqueado,3115
144,Jonathan Torres,david06@example.com,42444149,estudiante,2022-11-10,activo,88216
145,Bryan Taylor,oliviapierce@example.net,6002601,estudiante,2022-05-28,bloqueado,74574
146,George Montgomery,jamespage@example.net,59302332,docente,2022-12-20,activo,4781
147,Amy Jackson,anthony31@example.net,70501135,estudiante,2023-12-06,bloqueado,80307
148,Jay Farrell,wrightalexandra@example.org,44164646,docente,2022-10-01,bloqueado,77745
149,Charlene Clark,alicia47@example.org,88206352,estudiante,2023-12-03,bloqueado,46369
150,Donna Love,qcarter@example.com,33017223,estudiante,2024-04-16,activo,44922
151,Edward Jones,qanderson@example.org,86350811,docente,2023-03-25,activo,16845
152,David Lopez,sara68@example.net,14523100,estudiante,2023-09-03,activo,43748
153,Lisa Harris,cassandramcclure@example.org,2531347,estudiante,2024-04-29,bloqueado,79238
154,Micheal Crawford,emilydominguez@example.com,28544340,docente,2022-11-25,activo,28461
155,Stephanie Parker,osmith@example.com,57964980,estudiante,2023-09-20,activo,97334
156,Bianca Miller,whenry@example.net,27078158,estudiante,2022-12-02,bloqueado,37030
157,Rhonda Rogers,fbrown@example.net,64663307,docente,2022-11-30,activo,88669
158,Elizabeth Walton,amurphy@example.org,43663926,estudiante,2023-07-24,activo,15709
159,Christopher King,emmacardenas@example.net,53810643,estudiante,2022-08-25,bloqueado,18358
160,Mary Benton,roger14@example.com,41537828,estudiante,2022-06-30,bloqueado,48461
161,Jack Sherman,hgillespie@example.com,19336736,docente,2024-01-05,activo,42762
162,Christina Weaver,angela48@example.net,34786530,estudiante,2023-05-22,bloqueado,11763
163,Lauren Delgado,howechristopher@example.org,30157167,estudiante,2023-11-03,activo,18961
164,Jessica Wells,mmcconnell@example.com,15543454,estudiante,2024-01-29,bloqueado,79887
165,Alexis Mayer,wilkersoncandice@example.com,72895208,estudiante,2023-11-24,bloqueado,60448
166,Catherine Hicks,michelledyer@example.org,32047625,estudiante,2022-12-13,activo,33755
167,Edward Johnson,joshuacampbell@example.org,87143841,estudiante,2023-06-16,activo,3462
168,Christine Williams,brennanjason@example.org,7701970,docente,2023-10-29,activo,59550
169,Daniel Washington MD,ythomas@example.org,67465311,estudiante,2023-12-23,bloqueado,87239
170,Erin Hardy,wrightlori@example.org,6478047,estudiante,2024-02-05,bloqueado,29185
171,William Hansen,heather05@example.com,64115047,estudiante,2022-07-09,activo,9859
172,William Washington,othompson@example.org,85888637,docente,2023-03-27,bloqueado,88300
173,David Hurley,randyramirez@example.com,11624016,docente,2024-01-19,bloqueado,30454
174,Rita Cox,andrewhughes@example.com,48103783,docente,2022-06-24,bloqueado,21658
175,Lauren Rodriguez,kreyes@example.com,22449597,estudiante,2023-06-15,activo,15050
176,Ryan Wade,katherinemcdonald@example.net,63533413,estudiante,2024-02-04,bloqueado,64346
177,Suzanne Shaw,stephanie16@example.com,34060224,estudiante,2023-04-06,activo,7199
178,Eileen Martin,frank89@example.net,77704795,estudiante,2023-02-27,bloqueado,71910
179,Kerry Rodriguez,nunezjacqueline@example.org,64886338,docente,2022-12-06,activo,83764
180,Joshua Freeman,heatherfrazier@example.com,86003650,estudiante,2023-11-19,activo,92650
181,Austin Mcconnell,davidmoore@example.com,32147305,docente,2022-11-09,bloqueado,95381
182,Deborah Bell,colleenbarry@example.com,5148508,estudiante,2022-09-20,bloqueado,94938
183,Robert Mckay,benjaminevans@example.com,77984857,estudiante,2022-06-03,activo,86638
184,John Miller,mckaysavannah@example.net,35819404,estudiante,2023-07-11,activo,26504
185,Robert Wilkerson,lauren96@example.org,28825444,estudiante,2023-02-21,activo,13439
186,Cameron Edwards,chelseyclark@example.org,86519847,estudiante,2023-10-11,bloqueado,13053
187,Gregory Wade,wthompson@example.org,7713887,estudiante,2023-12-11,activo,81070
188,Mackenzie Ramos DVM,nicolekrause@example.org,11178314,estudiante,2022-06-02,activo,97962
189,Jamie Ramirez,greynolds@example.net,86409654,estudiante,2023-07-12,bloqueado,5752
190,James Sherman,larrywilliams@example.org,33497540,estudiante,2024-03-02,bloqueado,45530
191,Brian Andrews,sburton@example.org,53271912,estudiante,2023-03-03,bloqueado,53656
192,Olivia Martinez,jeffrey40@example.org,52491795,estudiante,2023-06-20,bloqueado,39221
193,Mr. William Watts,joelfisher@example.net,97177297,docente,2023-04-08,bloqueado,29134
194,Ashley Gilbert,davidmullins@example.net,68075079,docente,2023-12-30,bloqueado,45516
195,Lisa Miller,rgreene@example.com,22217661,docente,2023-03-30,bloqueado,9479
196,Jacob Scott,marc09@example.org,46662503,estudiante,2022-08-13,activo,94145
197,Jonathan Johnson,martindanny@example.net,11102067,estudiante,2023-12-23,bloqueado,22500
198,Steven Waters,julie52@example.net,9185305,docente,2024-03-06,activo,33074
199,Kimberly Blackburn,jillianbentley@example.org,92190435,estudiante,2024-03-30,bloqueado,83180
200,Mr. Dakota Dominguez,bradleyrodriguez@example.com,37143229,docente,2023-01-01,activo,78526
201,Wendy Foley,amy65@example.net,95860538,docente,2023-11-21,activo,30309
202,Michael Murray,greendeanna@example.org,45522717,estudiante,2023-11-17,activo,35052
203,Mark Cooper,wortiz@example.org,3976555,docente,2024-01-18,bloqueado,77038
204,Jesse Morris,james70@example.com,36415755,docente,2023-10-31,bloqueado,13722
205,Cody Carr,sean88@example.org,26557109,estudiante,2022-09-21,bloqueado,85671
206,Sherry Young,mmorales@example.org,93828762,docente,2022-06-04,activo,95715
207,Veronica Curtis,baileymartin@example.com,8442666,estudiante,2023-08-09,bloqueado,50631
208,Christopher Lang,kimberlylee@example.org,94043054,estudiante,2023-08-11,bloqueado,80736
209,Jessica Cline,swilliams@example.net,33581903,estudiante,2022-10-20,activo,65763
210,Angela Cohen,briggscassandra@example.com,41853301,estudiante,2023-03-31,bloqueado,55669
211,Katie Payne,matthew11@example.net,90278538,estudiante,2023-02-26,activo,9391
212,Cassidy Smith,rvalencia@example.com,27251456,docente,2023-08-29,bloqueado,17458
213,Monica Burton,melendezwilliam@example.org,40197741,docente,2023-07-17,activo,42583
214,Joshua Camacho,kevin39@example.com,56182346,docente,2024-03-09,activo,49071
215,Bobby Patton,john57@example.net,7980472,estudiante,2023-03-25,bloqueado,59064
216,Brenda Meyers,nguyenbrooke@example.org,515069,estudiante,2023-12-19,bloqueado,14109
217,Susan Ponce,imiller@example.net,14747994,estudiante,2022-09-15,bloqueado,41961
218,Lawrence Riley,samuelsmith@example.com,30236270,estudiante,2022-11-04,bloqueado,88132
219,Stephanie Huynh,sherri85@example.com,4255935,estudiante,2024-04-27,activo,11428
220,Kevin Kerr,alexanderchristina@example.org,18175534,docente,2024-03-31,bloqueado,25675
221,Sandra Johnson DDS,christopher63@example.net,19262469,estudiante,2023-12-29,bloqueado,44819
222,Peter Kennedy,james94@example.com,15568503,docente,2023-09-02,bloqueado,59320
223,Jamie Bennett,christopher77@example.com,70773529,estudiante,2024-04-25,activo,69701
224,Joseph Andrews,burnettkaren@example.org,42724862,docente,2023-09-10,bloqueado,67401
225,Shawn Kidd,brian68@example.com,88411554,estudiante,2023-12-28,bloqueado,57399
226,Dr. Haley Vasquez DDS,sestrada@example.org,53517242,estudiante,2023-08-05,bloqueado,694
227,Hailey Jordan,johnwright@example.com,18815699,docente,2024-04-16,activo,63130
228,Gregory Smith,josephlee@example.org,80588135,estudiante,2024-05-06,bloqueado,86175
229,Stephanie Mendoza,davidreilly@example.org,95467036,estudiante,2023-03-13,bloqueado,93214
230,Angela Wilson,paulphillips@example.net,69006467,estudiante,2022-10-22,activo,63791
231,Jasmine Barnes,jared70@example.org,46052963,estudiante,2024-05-02,activo,18477
232,Ruth Pugh,iwhite@example.com,64830593,estudiante,2023-11-26,bloqueado,61071
233,Brooke Hill,ybates@example.org,61811919,estudiante,2024-01-01,bloqueado,55632
234,Mary Hanson,mgilbert@example.net,42196359,estudiante,2024-01-05,bloqueado,49236
235,Scott Monroe,richshannon@example.com,72643947,estudiante,2024-02-11,activo,65228
236,Anthony Morris,andrea24@example.com,4580098,estudiante,2023-01-09,activo,51786
237,Martin Vargas,shannon33@example.net,67297829,docente,2024-03-03,activo,93247
238,Jaime Contreras,umcneil@example.org,52536389,docente,2022-11-14,activo,96333
239,Matthew Gates,ikirby@example.net,98412093,estudiante,2023-07-05,activo,97475
240,James Rowe,christinaduncan@example.org,77483343,estudiante,2022-06-03,activo,64533
241,Daniel Zamora,brownrebecca@example.net,10492243,estudiante,2023-01-15,activo,17487
242,Terry Barnett,ujohnson@example.org,73581374,estudiante,2023-09-30,bloqueado,29161
243,Jeffrey Flynn,jwhitaker@example.com,85586224,estudiante,2022-10-21,bloqueado,19258
244,Amy Gray,oturner@example.net,92445737,estudiante,2023-12-21,activo,65843
245,Thomas Patterson,juarezlisa@example.com,78562734,estudiante,2023-01-29,activo,78566
246,Curtis Alvarez,lawrence57@example.net,60141751,estudiante,2023-12-19,bloqueado,14227
247,Mark Baker,melaniemoore@example.com,63838481,estudiante,2023-07-08,activo,39959
248,Kristen Campbell,moorepatrick@example.org,13445449,estudiante,2022-09-20,bloqueado,66473
249,Christopher Baird,thomasmark@example.com,20722743,docente,2023-06-08,activo,91949
250,Jack Jones,rjohnson@example.com,77976020,estudiante,2022-06-28,activo,71191
251,Morgan Walker,davidflores@example.org,14244619,estudiante,2023-09-04,bloqueado,5850
252,Teresa Fleming,angelamontgomery@example.org,65906101,estudiante,2024-05-09,activo,69307
253,Michelle Blair,rpeterson@example.net,42951267,estudiante,2022-10-15,activo,43827
254,Nancy Curry,alexanderrodriguez@example.net,46886746,estudiante,2024-03-09,activo,67076
255,Robert Simpson,rossmathew@example.com,52932367,estudiante,2024-05-10,bloqueado,83339
256,Taylor Blackburn,racheljohns@example.org,20613384,docente,2022-08-03,bloqueado,45278
257,Sheila Cole,cummingsjesus@example.net,43381872,docente,2023-02-21,bloqueado,50212
258,Gregory Lee,kenneth74@example.net,81608902,estudiante,2022-11-17,bloqueado,77018
259,Samantha Combs,cindy39@example.net,30318168,estudiante,2022-07-10,activo,50764
260,Ricky Parker,shannonjennifer@example.org,16122029,docente,2022-06-26,activo,43390
261,Ms. Monica Salinas,rodriguezmark@example.org,55442406,estudiante,2024-02-20,bloqueado,22095
262,Sandra Johnson,caitlin63@example.org,30301484,estudiante,2024-04-01,bloqueado,91026
263,Anthony Clarke,simpsonchris@example.net,86819130,estudiante,2023-03-03,activo,95992
264,William Jefferson,jonathansnyder@example.com,8986865,estudiante,2024-04-21,bloqueado,10608
265,James Vasquez,laurenallen@example.com,4396109,estudiante,2022-08-15,activo,3850
266,Pamela Guzman,fcobb@example.com,26878875,estudiante,2023-09-04,activo,7877
267,Jason Anderson,angela58@example.net,6252583,estudiante,2024-05-04,bloqueado,27132
268,Timothy Oliver,pferguson@example.org,81802841,estudiante,2023-08-07,bloqueado,74010
269,Scott Reynolds,kellyerickson@example.net,12006505,docente,2023-02-28,bloqueado,87396
270,William Torres,nancy12@example.net,31729555,estudiante,2024-01-30,bloqueado,45112
271,Willie Lyons,tyler94@example.net,19751171,docente,2023-04-14,bloqueado,11831
272,Taylor Howard,nmckay@example.com,22966106,docente,2023-12-19,bloqueado,30645
273,Anthony Hampton,sextonjoseph@example.net,82475233,docente,2022-10-21,activo,51402
274,Nicole Norris,tjones@example.net,62885191,estudiante,2023-03-16,bloqueado,67262
275,Mrs. Miranda James,katiefritz@example.net,23811824,estudiante,2023-03-07,activo,28186
276,Brandy Smith,popemichael@example.com,90129642,docente,2023-09-16,bloqueado,91111
277,David Floyd,whitakerbradley@example.org,15558710,estudiante,2023-06-03,activo,26166
278,Christian Joyce,jnelson@example.net,31652541,docente,2023-08-25,activo,92338
279,Jessica Christensen,xbrock@example.com,49145456,estudiante,2023-04-10,activo,16631
280,Jeremy Miller,lisa89@example.net,24415008,docente,2023-08-31,bloqueado,26921
281,Mary Morrison,amy99@example.org,46125144,estudiante,2022-09-20,activo,50219
282,Kent Dominguez,brandon30@example.com,77558607,estudiante,2024-03-14,activo,6764
283,Michael Coffey,ramosamanda@example.net,95909365,docente,2022-12-19,bloqueado,36671
284,Taylor Bright,williamsvanessa@example.net,93567700,estudiante,2023-11-09,bloqueado,52207
285,Timothy Richardson,smiller@example.com,78783045,estudiante,2023-11-26,activo,89319
286,Rachel Miller,joshuawhite@example.com,66185733,estudiante,2024-04-04,activo,2589
287,Michael Levine,matthewheath@example.org,85078896,docente,2024-05-01,bloqueado,54763
288,Victor Mccoy,davidthompson@example.org,1647489,estudiante,2023-04-05,bloqueado,42151
289,Bridget Johnson,wvargas@example.net,53527956,docente,2023-06-08,activo,33684
290,Cindy Bates,travisstevens@example.org,31784046,docente,2023-02-19,activo,57099
291,Betty Kirby,dennis19@example.net,43442743,docente,2022-08-30,bloqueado,12336
292,Todd Luna,westjames@example.com,79347783,docente,2023-06-06,bloqueado,46230
293,Jeffrey Warren,longpatricia@example.com,36458935,estudiante,2023-10-21,activo,90018
294,Dawn Rhodes,smithdarren@example.com,78994714,estudiante,2024-03-10,activo,82076
295,Amanda Baker,rogersmall@example.net,40507735,estudiante,2023-09-21,bloqueado,4732
296,Douglas Brown,feliciathomas@example.net,64042922,estudiante,2022-06-01,bloqueado,15409
297,Bethany Wilson,adamsjohn@example.org,29817516,estudiante,2023-12-15,bloqueado,32802
298,Elizabeth Davis,christine19@example.net,51018778,estudiante,2022-08-11,activo,52905
299,Sydney Malone,brenda18@example.net,85298185,estudiante,2023-07-25,bloqueado,74272
300,Aaron Austin,lucasmckay@example.org,5458068,docente,2023-05-02,bloqueado,47416
301,Lisa Cain,benjamin10@example.com,6675637,estudiante,2023-11-15,bloqueado,8091
302,Kristen Johnson,rachel35@example.net,1062344,estudiante,2023-11-23,bloqueado,84531
303,Michelle Clements,brian69@example.com,68156780,docente,2023-09-19,activo,68826
304,Joseph Gonzalez,gkennedy@example.com,64206846,estudiante,2022-12-21,activo,20335
305,Patrick Medina MD,david43@example.net,76450168,estudiante,2024-01-29,bloqueado,99641
306,Dr. Michele Wilson MD,jason24@example.org,21539662,estudiante,2024-02-13,activo,70462
307,Kirk Mosley,tayloremily@example.com,45308328,estudiante,2024-01-30,activo,22849
308,Rebecca Garcia,ashley72@example.net,34927003,estudiante,2022-08-29,bloqueado,68974
309,Jennifer Riggs,sarah41@example.net,83886551,estudiante,2024-04-28,activo,76462
310,Felicia Scott,juliezuniga@example.com,35808089,estudiante,2024-05-06,bloqueado,36355
311,Patricia Carroll,jonathanhenderson@example.com,31402729,estudiante,2022-05-19,bloqueado,74144
312,Beth Sloan,loristewart@example.com,65941304,estudiante,2024-01-01,bloqueado,25333
313,Vincent Brown,bartonandrew@example.net,37797107,docente,2023-12-11,bloqueado,82115
314,Natalie Thomas,courtneycook@example.org,62131624,docente,2023-05-31,bloqueado,38475
315,Brian Greene,lee71@example.net,7781672,estudiante,2022-10-26,bloqueado,88825
316,Nicole Clark,jessica20@example.org,67429432,docente,2024-03-08,activo,41494
317,Laura Anderson,hmitchell@example.com,30649354,docente,2023-05-20,activo,14850
318,Susan Gonzalez,johnlyons@example.org,88503517,estudiante,2023-02-14,bloqueado,24635
319,Garrett Serrano,ujohnson@example.com,97611012,estudiante,2023-12-28,bloqueado,94287
320,Joel Williams,clarkshelby@example.net,63938909,estudiante,2023-06-20,bloqueado,42866
321,Kathleen Brock,benjaminflores@example.com,47533815,estudiante,2023-09-21,bloqueado,7746
